analysis,model,N,formula,OXPHOS_beta,OXPHOS_p,OXPHOS_CI_low,OXPHOS_CI_high,R2,OR_per_SD,OR_CI_low,OR_CI_high
continuous_DAS28_improvement,OXPHOS_only,46,improvement ~ OXPHOS,1.2007920857835384,2.1150617679698415e-06,0.7044918297333622,1.6970923418337145,0.23964892790777037,,,
continuous_DAS28_improvement,clinical_core,46,improvement ~ baseline_DAS28 + C(drug) + C(pathotype),,,,,0.06112323248457585,,,
continuous_DAS28_improvement,combined_core,46,improvement ~ OXPHOS + baseline_DAS28 + C(drug) + C(pathotype),1.5797091585201166,3.9550650628667703e-08,1.016035469713212,2.1433828473270213,0.3847450722906218,,,
continuous_DAS28_improvement,combined_full,46,improvement ~ OXPHOS + baseline_DAS28 + age + C(sex) + C(drug) + C(pathotype),1.708048445934859,1.8275439860263272e-07,1.066241423369529,2.349855468500189,0.4066644001147496,,,
binary_R_vs_NR,OXPHOS_only,33,y ~ OX_z,2.8452951191155487,0.007092164187478073,0.7740950412138434,4.9164951970172535,,17.20663592686696,2.168628719302386,136.52328648261613
binary_R_vs_NR,drug_pathotype,33,y ~ OX_z + C(drug) + C(pathotype),3.5370491458270084,0.01876687893127495,0.5872164481013198,6.4868818435526965,,34.36536225208375,1.7989739023354279,656.4731823979195
binary_R_vs_NR,core_adjusted,33,y ~ OX_z + baseline_DAS28 + C(drug) + C(pathotype),3.519123066299871,0.032936881964790186,0.28525827912268165,6.752987853477061,,33.754814746521134,1.3301055222482436,856.6143809748894
binary_R_vs_NR,full_sensitivity,33,y ~ OX_z + baseline_DAS28 + age + C(sex) + C(drug) + C(pathotype),5.102313160346036,0.025052505633266275,0.6390510580104918,9.56557526268158,,164.40175542719035,1.894682082578135,14265.15690208261
