Drug,Dataset,Cohort/window,Evidence role,Independence,N,Responders,Nonresponders,Tissue,Platform,Program,AUC high→response,Direction-free AUC,P value,Responder mean,Nonresponder mean,Direction,Notes,AUC_low95,AUC_high95,AUC_SE_approx,Signed_AUC_minus_0.5,Mean_difference_R_minus_NR
Abatacept,GSE224842,Baseline,Discovery / hypothesis generation,Independent study,30,21,9,PBMC,Agilent GPL6480,IFN_response,0.6402116402116402,0.6402116402116402,0.23932990653680652,0.09004958525953029,-0.2101156989389037,High→response,Predefined biological programs; discovery cohort.,0.4302659094623015,0.850157370960979,0.10711516874966263,0.14021164021164023,0.30016528419843397
Abatacept,GSE224842,Baseline,Discovery / hypothesis generation,Independent study,30,21,9,PBMC,Agilent GPL6480,Mito_ETC,0.42328042328042326,0.5767195767195767,0.5263497661500318,-0.051504044754295986,0.1201761044266898,Low→response,Predefined biological programs; discovery cohort.,0.19292191688849483,0.6536389296723517,0.11752985019996348,-0.07671957671957674,-0.17168014918098579
Abatacept,GSE224842,Baseline,Discovery / hypothesis generation,Independent study,30,21,9,PBMC,Agilent GPL6480,Th1_Tcell,0.4603174603174603,0.5396825396825398,0.751399935776412,-0.017551467485847544,0.040953424133645035,Low→response,Predefined biological programs; discovery cohort.,0.22970673560977295,0.6909281850251476,0.1176585330141262,-0.03968253968253971,-0.05850489161949258
Abatacept,GSE224842,Baseline,Discovery / hypothesis generation,Independent study,30,21,9,PBMC,Agilent GPL6480,Myeloid,0.5132275132275133,0.5132275132275133,0.9278799099567501,0.0055778011195845075,-0.01301486927903016,High→response,Predefined biological programs; discovery cohort.,0.2849595515149367,0.7414954749400898,0.11646324577172276,0.013227513227513255,0.018592670398614668
Abatacept,GSE224842,Baseline,Discovery / hypothesis generation,Independent study,30,21,9,PBMC,Agilent GPL6480,Bcell_CXCL13,0.7037037037037037,0.7037037037037037,0.08547994536151586,0.13682453428495728,-0.31925724666490096,High→response,Predefined biological programs; discovery cohort.,0.5097552258754617,0.8976521815319457,0.09895330501440916,0.20370370370370372,0.45608178094985824
Abatacept,GSE224842,Baseline,Discovery / hypothesis generation,Independent study,30,21,9,PBMC,Agilent GPL6480,NFkB_inflammatory,0.5449735449735449,0.5449735449735449,0.7173144740887485,0.04852135064850819,-0.11321648484652076,High→response,Predefined biological programs; discovery cohort.,0.319609169464924,0.7703379204821658,0.1149818242390923,0.04497354497354489,0.16173783549502896
Abatacept,GSE224842,Baseline,Discovery / hypothesis generation,Independent study,30,21,9,PBMC,Agilent GPL6480,Costimulation,0.7195767195767195,0.7195767195767195,0.06352377908727286,0.0947462895330188,-0.2210746755770433,High→response,Predefined biological programs; discovery cohort.,0.5303752175059211,0.908778221647518,0.0965313786075502,0.21957671957671954,0.3158209651100621
Abatacept,GSE68215,Baseline,Frozen external validation,Independent study,36,17,19,Whole blood,Agilent GPL4133,IFN_response,0.44582043343653255,0.5541795665634675,0.5901020524418137,-0.03346432642567926,0.029941765749291905,Low→response,Frozen programs tested without retuning.,0.25605129971394036,0.6355895671591247,0.0968209865931593,-0.05417956656346745,-0.06340609217497116
Abatacept,GSE68215,Baseline,Frozen external validation,Independent study,36,17,19,Whole blood,Agilent GPL4133,Mito_ETC,0.12383900928792571,0.8761609907120743,0.0001259776532822853,-0.5413941218963078,0.4844052669598544,Low→response,Frozen programs tested without retuning.,0.0076817899464498435,0.23999622862940156,0.059263887419120344,-0.3761609907120743,-1.025799388856162
Abatacept,GSE68215,Baseline,Frozen external validation,Independent study,36,17,19,Whole blood,Agilent GPL4133,Th1_Tcell,0.653250773993808,0.653250773993808,0.12049736300022333,0.12151692390052134,-0.10872566875309814,High→response,Frozen programs tested without retuning.,0.471720324133429,0.8347812238541871,0.09261757645937704,0.15325077399380804,0.23024259265361946
